name,address,rankingPosition,rawRanking,priceLevel,numberOfReviews,priceRange,description,cuisines/0,cuisines/1,cuisines/2,cuisines/3,cuisines/4,cuisines/5,cuisines/6,cuisines/7
Yakumido,"2-2-10 Haginochaya, Nishinari-Ku, Osaka 557-0004 Osaka Prefecture",1,4.779569149017334,$,173,"$500 - $1,000","Please check out the schedule on google map, there is a slight possibility that Yakumido May close weekday. Come and try town's best curry!!! I would love to see and talk to you!! This is a curry shop, but also if you have anything to ask, I am from here!! And I speak English! Please do NOT hegitate to contact me!! Look forward to seeing you here!!! Thank you (Yakumido could be closed irregular days, please check our web site, SNS site or call us before you approach here)",Japanese,Asian,Vegetarian Friendly,Vegan Options,Gluten Free Options,,,
Hokuto GEMS Namba,"3-7-19 Gems Namba 7F, Namba, Chuo, Osaka 539-0000 Osaka Prefecture",1,4.732521057128906,$$ - $$$,539,"$1,000 - $4,000","《 すき焼きの美味さは肉で決まる！日本のごちそう「すきやき」をもっと身近に！！ 》 黒毛和牛にこだわった本当に美味しいすき焼き！ Ａ4、ａ5ランクの黒毛和牛を使ったすき焼きがなんと1人前１,６８０円（税別）～。 物価高のこのご時世だからこそ、コスパの高さが際立ちます。 カジュアルでシャレた店内は友人や家族との普段使い、もちろんデート使いにも！ 日本のごちそう「すきやき」をもっと身近に誰でも気軽にお楽しみいただけます♪",Japanese,Asian,Grill,,,,,
Okonomiyaki Chitose,"1-11-10 Taishi, Nishinari-ku, Osaka 557-0002 Osaka Prefecture",7,4.70121431350708,$,559,,RE-OPEN NOW 1 NOVEMBER START 12：00～15：30 17：00～20：00 EXCEPT WEDNESDAY We have English and Chinese menu.,Japanese,Asian,Vegetarian Friendly,,,,,
Gyukatsu Motomura Namba,"3-3-1 Sugata Bldg B1F, Namba, Chuo, Osaka 542-0076 Osaka Prefecture",2,4.693216800689697,$$ - $$$,392,"$1,000 - $3,000","[Gyukatsu-MOTOMURA ] will continue to provide the taste of ""Gyukatsu"" in an honest fashion with the idea of ""making Gyukatsu a Japanese food culture."" Grill fried beef in medium rare on stone palate, and enjoy it with wasabi soy sauce. We cover the meat carefully with selected breadcrumbs and then grind it freshly.​ ​ With our special mountain wasabi sauce and rock salt, the taste of gyukatsu will be even more amazing.",Steakhouse,,,,,,,
Dotonbori Riverside Grill Wonder,"1-1-6 Riverside B1F, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",2,4.11355447769165,$$ - $$$,69,"$1,000 - $3,000",place you can communicate with local japanes! All staff can speak English! feel free to call for more info! cruise with beer from the dotonbori river right in front!,Bar,Pub,American,International,Grill,,,
Dotombori Imai Honten,"1-7-22, Dotombori, Chuo, Osaka 542-0071 Osaka Prefecture",3,4.111587047576904,$$ - $$$,345,"$800 - $1,000",,Japanese,Vegetarian Friendly,,,,,,
Fukutaro Honten,"2-3-17, Sennichimae, Chuo, Osaka 542-0074 Osaka Prefecture",1,4.102659702301025,$,286,,,Japanese,Asian,,,,,,
Kyochabana Minami Senba,"2-6-5 Bakuromachi, Chuo, Osaka 541-0059 Osaka Prefecture",3,4.631450176239014,$$ - $$$,220,,"The moment when I could write the sauce that used plenty of tomato in front! I do not collect! It is! Only famous tomato okonomiyaki is eaten by Kyobaba ♪ To dinner in osaka! To the sights of tourism! Enjoy the best momentum surrounded by staffs who are proud of Teppan dishes and fashionable shops, lively atmosphere and smiling faces ★ ~ Best okonomiyaki at the best hospitality ~ We will bring out the taste of the material and will offer ""new impression to okonomiyaki so far""! ▼ Specialty ""New sense"" dish ""Tomato Okonomiyaki"" fluffy with homemade sauce that used plenty of tomatoes! Salad sensation ""Avocado black fried noodles"" Sauce-grown vegetable sauce and Japanese soba are the best matches for Japanese style soup stock!",Japanese,Asian,Vegetarian Friendly,,,,,
Yakiniku Japan Links Umeda,"1-1 Ofukacho, Kita-Ku Links Umeda B1, Osaka 530-0011 Osaka Prefecture",20,4.239245891571045,$$ - $$$,81,,,,,,,,,,
Pizza Bar Fullhouse,"2-13-1 Nishishinsaibashi, Chuo, Osaka 542-0086 Osaka Prefecture",9,4.200455665588379,$,206,"$500 - $2,500",,Bar,Pizza,Vegetarian Friendly,,,,,
Kyochabana Shinosaka Eki,"1-1-1 Miyahara Yodogawa-Ku Shin-Osaka Hankyu Bldg. 2F, Osaka 532-0003 Osaka Prefecture",15,4.368591785430908,$$ - $$$,185,"$1,000 - $3,000","The moment when I could write the sauce that used plenty of tomato in front! I do not collect! It is! Only famous tomato okonomiyaki is eaten by Kyobaba ♪ To dinner in osaka! To the sights of tourism! Enjoy the best momentum surrounded by staffs who are proud of Teppan dishes and fashionable shops, lively atmosphere and smiling faces ★ ~ Best okonomiyaki at the best hospitality ~ We will bring out the taste of the material and will offer ""new impression to okonomiyaki so far""! ▼ Specialty ""New sense"" dish ""Tomato Okonomiyaki"" fluffy with homemade sauce that used plenty of tomatoes! Salad sensation ""Avocado black fried noodles"" Sauce-grown vegetable sauce and Japanese soba are the best matches for Japanese style soup stock!",Japanese,Vegetarian Friendly,,,,,,
Okonomiyaki Kiji - Umeda Sky Bldg,"1-1-90 Oyodonaka, Kita-Ku Umeda Sky Bldg. B1F Takimi Koji, Osaka 531-0076 Osaka Prefecture",14,4.375179290771484,$$ - $$$,675,,,Japanese,Asian,,,,,,
IPPUDO Nanba,"3-1-17 Nambanaka, Naniwa-Ku, Osaka 556-0011 Osaka Prefecture",16,4.309157371520996,$,271,,"Ippudo, our ramen restaurant, was first established in 1985 in Hakata, Fukuoka. Currently in 2017, we have over 100 stores throughout Japan. In 1990, our founder, Shigemi Kawahara, entered the Hall of Fame for winning the the ramen competition of the show, ""TV Champion"" three consecutive times. Then in 2005, he gained the title ""Noodle King"" after coming in 1st in the ""Largest Ramen Competition in History to Decide the Noodle King"". In 2008, our first store outside of Japan was opened in New York. Now, we have stores in London, Paris, Singapore, Hong Kong, Taiwan, Sydney, and in other countries all around the world, totaling 60 stores. Ippudo is the force driving the global ramen fever. We innovate and build the ""global standard of ramen shops"" all over the world by ensuring not only our delicious tasting ramen but also our great service and atmosphere. We will continue to share our authentic tonkotsu ramen, that we have pursued to the highest quality, throughout the world.",Japanese,Asian,Soups,,,,,
Nikuhoshi,"1-21-31, Nippombashi, Chuo, Osaka 542-0073 Osaka Prefecture",1,4.207324981689453,$$ - $$$,97,"$1,000 - $5,000","Our Shop "" NIKUHOSHI "" is MATSUSAKA BEEF PREMIUM SHOP in Kuromon Market Osaka.",Barbecue,Sushi,Pub,Japanese,Steakhouse,Asian,,
IPPUDO Umeda,"6-7 Kakudacho, Kita-Ku 1F Tsunoda Building, Osaka 530-0017 Osaka Prefecture",21,4.2215681076049805,$$ - $$$,336,"$800 - $1,000","Ippudo, our ramen restaurant, was first established in 1985 in Hakata, Fukuoka. Currently in 2017, we have over 100 stores throughout Japan. In 1990, our founder, Shigemi Kawahara, entered the Hall of Fame for winning the the ramen competition of the show, ""TV Champion"" three consecutive times. Then in 2005, he gained the title ""Noodle King"" after coming in 1st in the ""Largest Ramen Competition in History to Decide the Noodle King"". In 2008, our first store outside of Japan was opened in New York. Now, we have stores in London, Paris, Singapore, Hong Kong, Taiwan, Sydney, and in other countries all around the world, totaling 60 stores. Ippudo is the force driving the global ramen fever. We innovate and build the ""global standard of ramen shops"" all over the world by ensuring not only our delicious tasting ramen but also our great service and atmosphere. We will continue to share our authentic tonkotsu ramen, that we have pursued to the highest quality, throughout the world.",Japanese,Asian,Soups,,,,,
Traveler's Bar Osaka Tacos,"1-3-24 Taishi, Nishinari-Ku, Nishinari-Ku, Osaka 557-0002 Osaka Prefecture",19,4.2496747970581055,$,116,$3 - $15,,Mexican,Pub,Bar,International,Vegetarian Friendly,Vegan Options,,
Harukoma,"5-5-2 Tenjinbashi, Kita-ku, Osaka Osaka Prefecture",18,4.2799153327941895,$$ - $$$,429,,,Japanese,Seafood,Sushi,Asian,Gluten Free Options,,,
L&L Bar and Restaurant,"2-16-13 Nishishinsaibashi Hosen Bldg. 1F, Chuo, Osaka 542-0086 Osaka Prefecture",15,4.098114013671875,$$ - $$$,186,"$1,000 - $3,000",ビーガン料理ベジタリアン料理、パスタやピザなどの豊富な料理メニューがあり、お酒の種類も豊富で炎が立ち上がるフレイミングカクテルや、ベーシックカクテルまで約200種類のアルコールメニューをご用意しています。シーシャも吸えるシーシャレストランバーです。,Bar,Mediterranean,Pub,Middle Eastern,Israeli,Vegetarian Friendly,Vegan Options,
"Wanaka, Sennichimae Honten","11-19 Nambasennichimae, Chuo, Osaka 542-0075 Osaka Prefecture",17,4.097629070281982,$,321,"$800 - $1,000","WANAKA was known as a traditional sweet shop among neighborhood children in Sennichimae area in Osaka. It has become our root of our current as 'Takoyaki' we started to make Takoyaki in front of the shop. Afterward, we quitted working as a traditional sweet shop, and started `Wanaka` as Takoyaki shop. As we moved to the current place of our shop from Nanba Hanatsuki, it became really bright and breezy, so soon it was known to celebrities and travelers. History 1961 Wanaka is renewed as Traditional sweets shop after Sushi shop at Sennichimae 1986 Wanaka head shop is opened at Sennichimae",Japanese,Fast Food,,,,,,
